Account Address,Spent(ATOM),Purchased(ssDRAGON)
osmo1c5cclz6w4m5vpx6ugla6sq70c0dnc2wmlzx8ns,0.095319,804.725492
osmo1nw97tyt5eslcsexev2wk5x9fqnth92tvzphr9j,0.055,464.556337
osmo13mjcp55pxaxjqf7mthxkcmztzs5nlycdvhya62,0.05,422.323943
osmo1g4wnklax7hldwxly32xh7q0kz3jhe38gt4rqh7,0.05,422.323943
osmo1g6psvrjfns0n9k6m3v3hs6sl05eurjlna038nj,0.040007,337.918280
osmo1x3dcas6ld2c803sexm0nfppn25r4uc3gt0zw0v,0.04,337.859154
osmo19t0djs44lqj0uh3exye5lv307h20h4cl3rcl4d,0.04,337.859154
osmo1q6n2w6t6ek028tvraju2sluyxa47cku8e4vtud,0.04,337.859154
osmo1wgde3ftzzs9rh3j0kcvj6c85a20emmkc7jncem,0.04,337.859154
osmo168tu04pw8xykczlw08s7frrhxuguqa78hlydtl,0.04,337.859154
osmo1jspjrn65s4v4utgax6lq4rnekx3phz26v98aqe,0.04,337.859154
osmo1p59lf9z0qzkj9v3s7w22tfsedslaxvqz5sw5hx,0.04,337.859154
osmo15ldpl5tjqentk8yjfxvrj3mql5st937vrzvsnv,0.04,337.859154
osmo1wnswzxa0gjt7zetvuk7xdfcuqlhat2czasfjqt,0.04,337.859154
osmo1vnfheejf0dt9jlg28f3rrk35qacuug36lkmr5s,0.04,337.859154
osmo1dtgnj47klvpawmnv6nf8tapauhgjrlekrqlth2,0.04,337.859154
osmo14gm6da907hzv90fexkk04ax7f0n6y3jw29na5c,0.04,337.859154
osmo1a65xkj72v8ka8a3ycx0pkcgec9rve8d0xjsys0,0.04,337.859154
osmo1hnsy9s0tt9zhjl0ek0sy4jvfh0feqqy5ykdmu2,0.04,337.859154
osmo1qnryfwn6hw02xuqhatw7d4tahxpwmns5j8efzl,0.04,337.859154
osmo17shcxekhcg6es85dul2edkl0u628g50aht4zfc,0.04,337.859154
osmo1yhu8hqhpl4w7nk8v5kyldqdhqkmlyuxvfup0vu,0.04,337.859154
osmo1pquq3gngtc4v0f3vhx85wxhd4tr84nexxx8h6l,0.04,337.859154
osmo16mcazwgs7xllzepc9kucualxcp8gg4mky0eqfs,0.04,337.859154
osmo1tqyz2ny0jyugw224gx99wc7panh4u9j3dmgtdp,0.04,337.859154
osmo1q5ylux9egnn4guvqlqzgl6s5e8y5cekd9r85dn,0.04,337.859154
osmo15ct65kc3puqz77ujdzexsgz264sulujc333fhw,0.04,337.859154
